Year;race_ethnicity;date;milestone
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;Asian;1965;Selma to Montgomery march                               
1965;Asian;1965;Malcolm X shot to death                                 
1965;Asian;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1965;White;1965;Selma to Montgomery march                               
1965;White;1965;Malcolm X shot to death                                 
1965;White;1965;Voting Rights Act of 1965                               
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;Asian;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;Indig;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1966;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;Black;;
1967;Black;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1967;White;;
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
1968;White;1968;MLK assassinated                                        
1968;White;1968;Fair Housing Act                                        
