birthplace;person;party;race_ethnicity
USA        ;Robert De Niro      ;Republican                                   ;White
England    ;Robert Donat        ;Democratic                                   ;White
USA        ;Robert Duvall       ;Republican                                   ;White
USA        ;Robert Redford      ;Democratic                                   ;White
USA        ;Robert Wise         ;Democratic                                   ;White
USA        ;Robert Wise         ;Democratic                                   ;White
USA        ;Robert Zemeckis     ;Democratic                                   ;White
Italy      ;Roberto Benigni     ;Democratic                                   ;White
USA        ;Robin Williams      ;Democratic                                   ;White
USA        ;Rod Steiger         ;Democratic                                   ;White
France     ;Roman Polanski      ;Republican                                   ;White
USA        ;Ron Howard          ;Republican                                   ;White
England    ;Ronald Colman       ;Democratic                                   ;White
New Zealand;Russell Crowe       ;Republican                                   ;White
USA        ;Ruth Gordon         ;Republican                                   ;White
USA        ;Sally Field         ;Democratic                                   ;White
USA        ;Sally Field         ;Republican                                   ;White
England    ;Sam Mendes          ;Democratic                                   ;White
USA        ;Sandra Bullock      ;Democratic                                   ;White
USA        ;Sandy Dennis        ;Democratic                                   ;White
Scotland   ;Sean Connery        ;Republican                                   ;White
USA        ;Sean Penn           ;Republican                                   ;White
USA        ;Sean Penn           ;Democratic                                   ;White
USA        ;Shelley Winters     ;Republican                                   ;White
USA        ;Shelley Winters     ;Democratic                                   ;White
USA        ;Shirley Booth       ;Republican                                   ;White
USA        ;Shirley Jones       ;Democratic                                   ;White
USA        ;Shirley MacLaine    ;Republican                                   ;White
USA        ;Sidney Poitier      ;Democratic                                   ;Black
Germany    ;Simone Signoret     ;Republican                                   ;White
USA        ;Sissy Spacek        ;Republican                                   ;White
Italy      ;Sophia Loren        ;Democratic                                   ;White
USA        ;Spencer Tracy       ;Democratic                                   ;White
USA        ;Spencer Tracy       ;Republican                                   ;White
USA        ;Steven Soderbergh   ;Republican                                   ;White
USA        ;Steven Spielberg    ;Democratic                                   ;White
USA        ;Steven Spielberg    ;Democratic                                   ;White
USA        ;Susan Hayward       ;Republican                                   ;White
USA        ;Susan Sarandon      ;Democratic                                   ;White
USA        ;Sydney Pollack      ;Republican                                   ;White
USA        ;Tatum O'Neal        ;Republican                                   ;White
USA        ;Teresa Wright       ;Democratic                                   ;White
